                     Label  Precision    Recall  F1 Score        AP
0         Transverse Crack   0.125000  0.041667  0.062500  0.006944
1       Longitudinal Crack   0.478632  0.321839  0.384880  0.218465
2              Block Crack   1.000000  0.071429  0.133333  0.071429
3          Alligator Crack   0.657980  0.417355  0.510746  0.336378
4              Edge Cracks   0.750000  0.083333  0.150000  0.062500
5                 Potholes   0.000000  0.000000  0.000000  0.000000
6                 Raveling   0.446429  0.289575  0.351288  0.181154
7  Corrugation and shoving   0.000000  0.000000  0.000000  0.000000
8                 Patching   0.444444  0.121951  0.191388  0.097769
9                  Manhole   0.750000  0.750000  0.750000  0.732143
