                     Label  Precision    Recall  F1 Score        AP
0         Transverse Crack   0.096774  0.125000  0.109091  0.055208
1       Longitudinal Crack   0.320574  0.385057  0.349869  0.194853
2              Block Crack   0.000000  0.000000  0.000000  0.000000
3          Alligator Crack   0.470073  0.665289  0.550898  0.486054
4              Edge Cracks   0.125000  0.083333  0.100000  0.033730
5                 Potholes   0.000000  0.000000  0.000000  0.000000
6                 Raveling   0.331606  0.247104  0.283186  0.122538
7  Corrugation and shoving   0.000000  0.000000  0.000000  0.000000
8                 Patching   0.244131  0.317073  0.275862  0.134060
9                  Manhole   0.625000  0.625000  0.625000  0.625000
