                     Label  Precision    Recall  F1 Score        AP
0         Transverse Crack   0.307692  0.166667  0.216216  0.055556
1       Longitudinal Crack   0.411765  0.442529  0.426593  0.286655
2              Block Crack   0.200000  0.071429  0.105263  0.014286
3          Alligator Crack   0.660550  0.595041  0.626087  0.482726
4              Edge Cracks   0.750000  0.083333  0.150000  0.076389
5                 Potholes   0.000000  0.000000  0.000000  0.000000
6                 Raveling   0.420833  0.389961  0.404810  0.215076
7  Corrugation and shoving   0.000000  0.000000  0.000000  0.000000
8                 Patching   0.426667  0.195122  0.267782  0.130449
9                  Manhole   1.000000  0.875000  0.933333  0.875000
