                     Label  Precision    Recall  F1 Score        AP
0         Transverse Crack   0.093750  0.125000  0.107143  0.017852
1       Longitudinal Crack   0.218107  0.304598  0.254197  0.086507
2              Block Crack   0.000000  0.000000  0.000000  0.000000
3          Alligator Crack   0.455446  0.475207  0.465116  0.283221
4              Edge Cracks   0.000000  0.000000  0.000000  0.000000
5                 Potholes   0.000000  0.000000  0.000000  0.000000
6                 Raveling   0.378378  0.054054  0.094595  0.025901
7  Corrugation and shoving   0.000000  0.000000  0.000000  0.000000
8                 Patching   0.750000  0.054878  0.102273  0.053769
9                  Manhole   1.000000  0.500000  0.666667  0.500000
