                     Label  Precision    Recall  F1 Score        AP
0         Transverse Crack   0.120000  0.250000  0.162162  0.089906
1       Longitudinal Crack   0.296000  0.425287  0.349057  0.240529
2              Block Crack   0.000000  0.000000  0.000000  0.000000
3          Alligator Crack   0.477148  0.539256  0.506305  0.352263
4              Edge Cracks   0.000000  0.000000  0.000000  0.000000
5                 Potholes   0.000000  0.000000  0.000000  0.000000
6                 Raveling   0.520000  0.050193  0.091549  0.035592
7  Corrugation and shoving   0.000000  0.000000  0.000000  0.000000
8                 Patching   0.500000  0.018293  0.035294  0.009146
9                  Manhole   1.000000  0.375000  0.545455  0.375000
