                     Label  Precision    Recall  F1 Score        AP
0         Transverse Crack   0.179487  0.291667  0.222222  0.117851
1       Longitudinal Crack   0.339450  0.212644  0.261484  0.091628
2              Block Crack   0.000000  0.000000  0.000000  0.000000
3          Alligator Crack   0.524194  0.537190  0.530612  0.391234
4              Edge Cracks   0.148148  0.111111  0.126984  0.024947
5                 Potholes   0.000000  0.000000  0.000000  0.000000
6                 Raveling   0.279330  0.193050  0.228310  0.081516
7  Corrugation and shoving   0.000000  0.000000  0.000000  0.000000
8                 Patching   0.329545  0.176829  0.230159  0.109122
9                  Manhole   1.000000  0.750000  0.857143  0.750000
